gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,pfam,og,name,TF,STING,cGLR
Spis_XP_022780050_1,3152.942896,3.27086424,0.231838055,1.56917E-46,1.67888E-43,TNFR_c6/ZU5/Death/,tight_junction_protein_1,,FALSE,FALSE,FALSE
Spis_XP_022795773_1,1621.80153,1.778483321,0.12706665,5.20858E-46,5.34053E-43,,,,FALSE,FALSE,FALSE
Spis_XP_022784637_1,623.8932958,3.778122371,0.271078583,7.53387E-46,7.41574E-43,TMEM173/,stimulator_of_interferon_response_cGAMP_interactor_1,,FALSE,TRUE,FALSE
Spis_XP_022787270_1,318.7050962,3.487654251,0.253249286,1.24105E-44,1.17461E-41,NHL/,tripartite_motif_containing_32,,FALSE,FALSE,FALSE
Spis_XP_022807487_1,2150.672519,4.59425362,0.344774555,1.04122E-42,9.48972E-40,UQ_con/,ubiquitin_conjugating_enzyme_E2_D1,,FALSE,FALSE,FALSE
Spis_XP_022805375_1,2286.541341,3.623055787,0.270562368,1.78015E-42,1.56449E-39,,,,FALSE,FALSE,FALSE
Spis_XP_022801880_1,1611.6966,4.87945197,0.368024499,1.93609E-42,1.64287E-39,,TNF_receptor_associated_factor_2,,FALSE,FALSE,FALSE
Spis_XP_022782793_1,15461.92976,3.975827233,0.301282393,1.32651E-41,1.08809E-38,,,,FALSE,FALSE,FALSE
Spis_XP_022785393_1,7181.78732,4.111452112,0.312580022,1.90358E-41,1.51107E-38,UPA/,unc_5_netrin_receptor_D,,FALSE,FALSE,FALSE
Spis_XP_022789760_1,1726.856752,1.688788897,0.128195552,4.55564E-41,3.50329E-38,TPR_12/TPR_12/TPR_7/TPR_12/TPR_12/TPR_12/TPR_12/TPR_10/CHAT/,tetratricopeptide_repeat_domain_28,,FALSE,FALSE,FALSE
Spis_XP_022782174_1,1485.292454,2.728880235,0.207321444,1.01376E-40,7.55956E-38,Pkinase/,Pkinase.HG125.0:MKNK1/MKNK2,,FALSE,FALSE,FALSE
Spis_XP_022779322_1,1037.99019,2.343390856,0.17875649,1.44863E-40,1.04847E-37,Pkinase_Tyr/,Pkinase.HG47.0:NA,,FALSE,FALSE,FALSE
Spis_XP_022799473_1,3460.429916,3.307152663,0.253148953,2.29673E-40,1.6148E-37,TNFR_c6/ZU5/UPA/Death/,,,FALSE,FALSE,FALSE
Spis_XP_022795087_1,651.1826603,4.435985988,0.346739741,1.33904E-39,9.15309E-37,Mab-21/,mitochondrial_elongation_factor_1,,FALSE,FALSE,TRUE
Spis_Spis1540_1,821.7906645,3.715910766,0.288650521,1.40413E-39,9.33859E-37,,,,FALSE,FALSE,FALSE
Spis_XP_022803486_1,1487.828439,3.946867929,0.30835512,2.47277E-39,1.60131E-36,,,,FALSE,FALSE,FALSE
Spis_XP_022783496_1,6282.199621,4.615950233,0.363222347,3.24838E-39,2.04964E-36,CECR6_TMEM121/,,,FALSE,FALSE,FALSE
Spis_XP_022799464_1,409.4625792,2.861612187,0.222498464,5.09644E-39,3.13533E-36,UPA/,,,FALSE,FALSE,FALSE
Spis_XP_022785448_1,2555.124537,3.045078066,0.237901055,9.91033E-39,5.94813E-36,UPA/,unc_5_netrin_receptor_C,,FALSE,FALSE,FALSE
Spis_XP_022794422_1,1167.307639,4.18300868,0.332539319,2.88205E-38,1.68861E-35,LRR_8/LRR_8/TIR/,TIR.HG1.22:like:AC097637/TLR1/TLR2/TLR3/TLR4/TLR5/TLR6/TLR7/TLR8/TLR9/TLR10:likeclu:24/25/27/29/30/31/32,,FALSE,FALSE,FALSE
Spis_XP_022784371_1,392.2709879,3.309082518,0.260953967,3.25831E-38,1.86466E-35,BTB_2/BTB_2/TLD/,potassium_channel_tetramerization_domain_containing_21,,FALSE,FALSE,FALSE
Spis_XP_022785441_1,1782.495864,4.030150819,0.320654124,4.13507E-38,2.31263E-35,,,,FALSE,FALSE,FALSE
Spis_XP_022790076_1,7566.744959,3.343872683,0.264496617,5.03263E-38,2.75207E-35,GBP_C/,stress response protein NST1-like,,FALSE,FALSE,FALSE
Spis_XP_022783444_1,99.23486444,3.940857841,0.314024566,6.05589E-38,3.23964E-35,CECR6_TMEM121/,,,FALSE,FALSE,FALSE
Spis_XP_022791284_1,1553.114826,1.918458811,0.152536487,8.47527E-38,4.35647E-35,Pkinase_Tyr/,Pkinase.HG201.0:NA,,FALSE,FALSE,FALSE
Spis_XP_022778215_1,1424.256258,3.405142541,0.27038851,8.49767E-38,4.35647E-35,,,,FALSE,FALSE,FALSE
Spis_XP_022801876_1,2539.951748,2.534652061,0.200768271,9.62567E-38,4.83405E-35,zf-TRAF/zf-TRAF/,TNF_receptor_associated_factor_3,,FALSE,FALSE,FALSE
Spis_XP_022785917_1,3051.245791,3.537509356,0.282168935,1.39846E-37,6.88268E-35,UBA_6/RNase_Zc3h12a/,zinc_finger_CCCH_type_containing_12C,,FALSE,FALSE,FALSE
Spis_XP_022809791_1,4418.968959,3.086478045,0.247571546,6.47623E-37,3.12484E-34,AAA_11/AAA_11/AAA_12/RNB/AAA_11/AAA_12/,helicase_with_zinc_finger_2,,FALSE,FALSE,FALSE
Spis_XP_022785431_1,46667.37757,3.598662441,0.290990545,1.05814E-36,5.00746E-34,UPA/,unc_5_netrin_receptor_C,,FALSE,FALSE,FALSE
Spis_XP_022806513_1,5264.561593,4.1943015,0.34685999,1.18821E-35,5.5169E-33,CARD_2/DEAD/RIG-I_C/Helicase_C/RIG-I_C-RD/,DEAD.HG9.1:DDX58/DHX58/IFIH1,,FALSE,FALSE,FALSE
Spis_XP_022784664_1,375.2303745,3.617050792,0.297700653,1.48764E-35,6.77922E-33,TMEM173/,stimulator_of_interferon_response_cGAMP_interactor_1,,FALSE,FALSE,FALSE
Spis_XP_022792732_1,525.329634,2.643806256,0.217499645,3.56487E-35,1.59499E-32,Collagen/TNF/,Collagen.HG2.29:like:COL6A1/COL6A2/COL6A3/COL6A5/COL6A6/COL12A1/COL14A1/COL20A1:likeclu:25/28,,FALSE,FALSE,FALSE
Spis_XP_022800769_1,2097.148727,4.894482701,0.412951344,9.53142E-35,4.18838E-32,Patatin/,,,FALSE,FALSE,FALSE
Spis_XP_022809787_1,713.1482904,3.088900868,0.256357163,1.10784E-34,4.78276E-32,EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/,uromodulin,,FALSE,FALSE,FALSE
Spis_XP_022786790_1,17143.36383,3.451581352,0.288792858,2.16399E-34,9.02566E-32,zf-CHY/zf-C3HC4_2/,ring_finger_and_CHY_zinc_finger_domain_containing_1,,FALSE,FALSE,FALSE
Spis_XP_022798623_1,661.2099083,3.816063754,0.320631878,2.14024E-34,9.02566E-32,,,,FALSE,FALSE,FALSE
Spis_XP_022793214_1,1372.00333,3.374677154,0.282517269,2.65096E-34,1.08725E-31,,,,FALSE,FALSE,FALSE
Spis_XP_022801879_1,1470.725934,4.993256409,0.4280504,7.97538E-34,3.21735E-31,zf-TRAF/,TNF_receptor_associated_factor_2,,FALSE,FALSE,FALSE
Spis_XP_022795876_1,1938.699899,3.909017189,0.333814944,1.78608E-33,7.08901E-31,Macro/Macro/Macro/DTC/,deltex_E3_ubiquitin_ligase_3L,,FALSE,FALSE,FALSE
Spis_XP_022802296_1,554.9714901,3.245425351,0.275903535,2.80836E-33,1.09695E-30,Dynamin_N/Pkinase/,Pkinase.HG11.0:NA,,FALSE,FALSE,FALSE
Spis_XP_022782792_1,3921.768995,3.788316192,0.324500986,3.32529E-33,1.27857E-30,Avidin/,,,FALSE,FALSE,FALSE
Spis_XP_022805199_1,10228.58859,3.17835636,0.270404152,3.40377E-33,1.28861E-30,EGF_CA/EGF_CA/EGF_3/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_3/EGF_3/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_3/EGF_CA/,nidogen_1,,FALSE,FALSE,FALSE
Spis_XP_022785671_1,13401.68068,3.5852159,0.307119287,4.71762E-33,1.75896E-30,ETV6/ETV7,Ets.ETV6/ETV7,,TRUE,FALSE,FALSE
Spis_XP_022796607_1,786.9678629,3.91204045,0.337832218,8.18034E-33,3.00451E-30,CARD_2/ResIII/RIG-I_C/Helicase_C/RIG-I_C-RD/,DEAD.HG9.1:DDX58/DHX58/IFIH1,,FALSE,FALSE,FALSE
Spis_XP_022799238_1,6477.231952,2.495169041,0.213542175,8.89106E-33,3.21752E-30,Mab-21/,mab_21_like_1,,FALSE,FALSE,TRUE
Spis_XP_022792692_1,7283.925661,3.569251951,0.308779846,1.8462E-32,6.58426E-30,,,,FALSE,FALSE,FALSE
Spis_XP_022785396_1,1189.558882,3.097259198,0.267592216,3.06826E-32,1.07863E-29,UPA/,unc_5_netrin_receptor_D,,FALSE,FALSE,FALSE
Spis_XP_022794017_1,7165.260099,3.011450502,0.26049404,3.92061E-32,1.35885E-29,Reeler/,,,FALSE,FALSE,FALSE
Spis_XP_022785979_1,652.8225553,3.89697196,0.340673438,4.28207E-32,1.46352E-29,,,,FALSE,FALSE,FALSE
Spis_XP_022791199_1,6629.253462,2.772342392,0.240022045,4.91735E-32,1.65762E-29,zf-C3HC4/zf-TRAF/,TNF_receptor_associated_factor_5,,FALSE,FALSE,FALSE
Spis_XP_022799467_1,783.8457677,3.286237008,0.286275319,7.28453E-32,2.4224E-29,,,,FALSE,FALSE,FALSE
Spis_XP_022784636_1,769.0512255,3.571439711,0.313237246,1.13411E-31,3.7211E-29,TMEM173/,stimulator_of_interferon_response_cGAMP_interactor_1,,FALSE,TRUE,FALSE
Spis_XP_022801977_1,537.4204447,2.553891485,0.222841661,1.26995E-31,4.11198E-29,,,,FALSE,FALSE,FALSE
Spis_XP_022802160_1,1440.527311,3.719494127,0.328050353,1.82803E-31,5.84211E-29,,,,FALSE,FALSE,FALSE
Spis_XP_022806701_1,4551.994962,3.53589512,0.311431673,2.08497E-31,6.57781E-29,,,,FALSE,FALSE,FALSE
Spis_Spis2441_1,789.4284134,4.542330855,0.404888006,2.11933E-31,6.60158E-29,,,,FALSE,FALSE,FALSE
Spis_XP_022804570_1,2049.905909,3.374554941,0.296845314,2.29212E-31,7.05056E-29,MIB_HERC2/ZZ/SH3_15/Ank_2/Ank_2/Exo_endo_phos_2/Ank_2/zf-C3HC4_3/,mindbomb_E3_ubiquitin_protein_ligase_2,,FALSE,FALSE,FALSE
Spis_XP_022799481_1,354.5440109,3.992255577,0.356069461,4.88345E-31,1.4836E-28,UPA/,,,FALSE,FALSE,FALSE
Spis_XP_022794188_1,1704.659932,3.033416531,0.268569109,8.13305E-31,2.44071E-28,dCMP_cyt_deam_1/,cytidine_and_dCMP_deaminase_domain_containing_1,,FALSE,FALSE,FALSE
Spis_XP_022791097_1,505.6603147,2.537036695,0.225017557,1.04285E-30,3.05505E-28,Macro/,poly_ADP_ribose_polymerase_family_member_14,,FALSE,FALSE,FALSE
Spis_XP_022804571_1,69.20154591,4.330465886,0.39010579,1.03783E-30,3.05505E-28,ApeC/,,,FALSE,FALSE,FALSE
Spis_XP_022798398_1,1390.154636,2.96786966,0.263835553,1.43963E-30,4.16781E-28,,balbiani ring protein 3-like,,FALSE,FALSE,FALSE
Spis_XP_022799519_1,1220.629547,2.595517236,0.23083142,1.54288E-30,4.41478E-28,TNFR_c6/,,,FALSE,FALSE,FALSE
Spis_XP_022783981_1,15455.09944,5.351967324,0.488491677,1.83404E-30,5.18759E-28,,,,FALSE,FALSE,FALSE
Spis_XP_022794417_1,10169.35239,2.05221528,0.184161851,2.49235E-30,6.96952E-28,Glyco_trans_1_4/,,,FALSE,FALSE,FALSE
Spis_Spis5919_1,2800.118518,3.710255031,0.334646585,3.15658E-30,8.72776E-28,,,,FALSE,FALSE,FALSE
Spis_XP_022800902_1,1027.780378,2.353961945,0.211383718,4.02849E-30,1.10148E-27,,,,FALSE,FALSE,FALSE
Spis_XP_022785376_1,14782.38609,2.766203101,0.249839542,1.12589E-29,3.0446E-27,OTU/zf-A20/zf-A20/,TNF_alpha_induced_protein_3,,FALSE,FALSE,FALSE
Spis_XP_022784788_1,477.11649,1.872858062,0.172332013,4.99755E-29,1.33674E-26,Macro/Macro/PARP/,poly_ADP_ribose_polymerase_family_member_14,,FALSE,FALSE,FALSE
Spis_XP_022787840_1,998.5856054,2.533556916,0.231886903,5.08683E-29,1.34599E-26,,,,FALSE,FALSE,FALSE
Spis_XP_022798721_1,50092.49739,2.214914532,0.204201631,8.10664E-29,2.12222E-26,Ank_2/Ank/Ank_2/,nuclear_factor_kappa_B_subunit_1,,FALSE,FALSE,FALSE
Spis_XP_022781005_1,6975.361013,2.030097721,0.187574533,8.51001E-29,2.20436E-26,MG2/MG3/A2M_BRD/A2M/TED_complement/A2M_recep/,CD109_molecule,,FALSE,FALSE,FALSE
Spis_XP_022787438_1,1378.374298,3.47158921,0.321114883,9.82227E-29,2.51778E-26,,branched-chain-amino-acid aminotransferase-like protein 2,,FALSE,FALSE,FALSE
Spis_XP_022792363_1,1011.601503,-3.673859318,0.341311345,1.1722E-28,2.97377E-26,Laminin_G_3/Lectin_C/,Lectin_C.HG5.10:like:DGCR2:likeclu:1,,FALSE,FALSE,FALSE
Spis_XP_022783595_1,1215.406981,4.166219783,0.391755658,2.13814E-28,5.36891E-26,NIDO/AMOP/VWD/Sushi/Sushi/,sushi_domain_containing_2,,FALSE,FALSE,FALSE
Spis_XP_022799475_1,2381.449316,2.268201584,0.210739927,2.16871E-28,5.39065E-26,CARD/,,,FALSE,FALSE,FALSE
Spis_Spis3943_1,1105.161144,5.230339724,0.497116796,2.19061E-28,5.39065E-26,,,,FALSE,FALSE,FALSE
Spis_XP_022791102_1,147.0725437,3.547789841,0.331989215,3.33861E-28,8.1343E-26,,bZIP.like:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL,,TRUE,FALSE,FALSE
Spis_XP_022793102_1,2207.543906,3.717160878,0.348818765,3.47482E-28,8.38317E-26,RdRP/,probable RNA-dependent RNA polymerase 1,,FALSE,FALSE,FALSE
Spis_XP_022795058_1,1593.041962,3.859463699,0.364259564,5.26878E-28,1.25878E-25,Mab-21/,cyclic GMP-AMP synthase-like isoform X1,,FALSE,FALSE,FALSE
Spis_XP_022791124_1,1027.00772,2.311994808,0.216854751,6.88449E-28,1.62898E-25,,bZIP.like:MAF/MAFA/MAFB/MAFF/MAFG/MAFK/NRL,,TRUE,FALSE,FALSE
Spis_XP_022777728_1,1784.70687,3.39765506,0.319338281,7.01284E-28,1.64354E-25,SH3_15/SH3_15/Ank_2/Ank_2/,mindbomb_E3_ubiquitin_protein_ligase_1,,FALSE,FALSE,FALSE
Spis_Spis23821_1,200.4034017,4.444575552,0.424629262,8.68548E-28,2.01634E-25,,,,FALSE,FALSE,FALSE
Spis_XP_022781648_1,7761.295254,3.758842829,0.356671719,1.13843E-27,2.61819E-25,,,,FALSE,FALSE,FALSE
Spis_XP_022805370_1,2288.79203,1.998275784,0.189078147,1.29472E-27,2.95004E-25,,,,FALSE,FALSE,FALSE
Spis_XP_022779553_1,494.0404913,1.822343195,0.172521446,1.38618E-27,3.12946E-25,,chromosome_19_open_reading_frame_12,,FALSE,FALSE,FALSE
Spis_XP_022800850_1,7043.585992,2.395250575,0.226036623,1.53557E-27,3.4352E-25,Ank_2/Ank_2/Ank/,,,FALSE,FALSE,FALSE
Spis_XP_022785434_1,4318.208855,3.460423972,0.328182382,1.75804E-27,3.89746E-25,,,,FALSE,FALSE,FALSE
Spis_XP_022797124_1,184.5168322,-4.420273795,0.425825134,2.21888E-27,4.8752E-25,I-set/Ig_3/Ig_3/,NCam.HG4.9:NA,,FALSE,FALSE,FALSE
Spis_XP_022809740_1,428.1528033,3.325397029,0.31582762,2.53464E-27,5.51969E-25,zf-C3HC4/,ring_finger_and_CHY_zinc_finger_domain_containing_1,,FALSE,FALSE,FALSE
Spis_XP_022783669_1,861.1099521,-3.910236084,0.375210409,3.05435E-27,6.59311E-25,,protein DD3-3-like isoform X1,,FALSE,FALSE,FALSE
Spis_XP_022808627_1,5252.91034,3.44434878,0.328646425,3.54145E-27,7.57809E-25,UQ_con/,ubiquitin_conjugating_enzyme_E2_D1,,FALSE,FALSE,FALSE
Spis_XP_022782470_1,617.7844972,-1.319362767,0.124965841,4.52942E-27,9.60861E-25,Aminotran_1_2/,glycine_C_acetyltransferase,,FALSE,FALSE,FALSE
Spis_XP_022796299_1,245.898313,-1.33685644,0.127062526,6.3828E-27,1.34246E-24,Carn_acyltransf/Carn_acyltransf/,carnitine_O_octanoyltransferase,,FALSE,FALSE,FALSE
Spis_XP_022788048_1,1163.87095,2.301078107,0.220479158,7.36399E-27,1.5357E-24,ResIII/Helicase_C/Dicer_dimer/Ribonuclease_3/Ribonuclease_3/,DEAD.HG37.0:DICER1,,FALSE,FALSE,FALSE
Spis_XP_022795357_1,1514.560092,1.737759516,0.167305591,9.81688E-27,2.03003E-24,PUB/,N_glycanase_1,,FALSE,FALSE,FALSE
Spis_XP_022802168_1,1739.351157,2.742735035,0.263130201,1.22933E-26,2.52096E-24,IRF3/IRF4/IRF5/IRF6/IRF7/IRF8/IRF9,IRF.IRF3/IRF4/IRF5/IRF6/IRF7/IRF8/IRF9,,TRUE,FALSE,FALSE
Spis_XP_022792312_1,883.7046849,3.866227344,0.376204992,1.48049E-26,3.01091E-24,Amino_oxidase/,interleukin_4_induced_1,,FALSE,FALSE,FALSE
Spis_XP_022780258_1,9848.47747,2.426298506,0.23365728,1.50178E-26,3.02917E-24,Mab-21/,cyclic_GMP_AMP_synthase,,FALSE,FALSE,FALSE
Spis_XP_022779509_1,8763.967724,3.793633098,0.368866202,1.54193E-26,3.08486E-24,Hint_2/,neural_EGFL_like_1,,FALSE,FALSE,FALSE
Spis_XP_022800546_1,55.43458356,-3.343507951,0.323979319,2.20966E-26,4.38511E-24,MFS_1/,Sugar_tr.HG1.21:like:SLC22A15:likeclu:4,,FALSE,FALSE,FALSE
Spis_XP_022788575_1,99.72304473,-3.030952776,0.29334821,2.83315E-26,5.57745E-24,,"aspartate, glycine, lysine and serine-rich protein-like",,FALSE,FALSE,FALSE
Spis_XP_022807241_1,162.2492046,-3.234582818,0.314824552,4.13467E-26,8.07508E-24,Pentaxin/,Laminin.HG7.4:NA,,FALSE,FALSE,FALSE
Spis_XP_022807493_1,210.9378475,2.176994679,0.212974329,5.82665E-26,1.12899E-23,EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/,uromodulin,,FALSE,FALSE,FALSE
Spis_XP_022797919_1,658.9943852,3.873736558,0.383592533,9.1175E-26,1.75284E-23,,,,FALSE,FALSE,FALSE
Spis_XP_022795809_1,1486.502534,1.909023043,0.188078992,1.00563E-25,1.91833E-23,RdRP/,,,FALSE,FALSE,FALSE
Spis_XP_022801266_1,475.2331851,3.589388139,0.354780699,1.20894E-25,2.28843E-23,,,,FALSE,FALSE,FALSE
Spis_XP_022784447_1,1364.451074,1.545237993,0.15180866,1.27878E-25,2.40215E-23,RIG-I_C-RD/ResIII/Helicase_C/RdRP/,DEAD.HG17.1:NA,,FALSE,FALSE,FALSE
Spis_XP_022797661_1,4898.455222,3.383810229,0.334156851,1.52607E-25,2.84497E-23,,ring_finger_protein_213,,FALSE,FALSE,FALSE
Spis_XP_022796098_1,222.5093012,1.812204459,0.180165874,2.67568E-25,4.95062E-23,,,,FALSE,FALSE,FALSE
Spis_XP_022788264_1,165.3216671,3.375083302,0.335923897,3.45573E-25,6.34616E-23,,,,FALSE,FALSE,FALSE
Spis_Spis6870_1,459.8794834,4.392860047,0.444368122,3.57931E-25,6.52442E-23,,,,FALSE,FALSE,FALSE
Spis_XP_022807225_1,99.06714192,-2.416502305,0.239944428,3.7019E-25,6.69826E-23,Collagen/Collagen/,Collagen.HG20.0:NA,,FALSE,FALSE,FALSE
Spis_XP_022779333_1,221.115257,-2.697738985,0.268422746,5.64263E-25,1.01353E-22,C2/C2/,Synaptotagmin.HG1.1:like:C2CD4C/C2CD4D/DOC2A/DOC2B/FO681492/RIMS1/RIMS2/RIMS3/RIMS4/RPH3A/SYT1/SYT2/SYT3/SYT4/SYT5/SYT6/SYT7/SYT8/SYT9/SYT10/SYT11/SYT12/SYT13/SYT15/SYT17/SYTL1/SYTL2/SYTL3/SYTL4/SYTL5/TC2N:likeclu:8/13/17/25/30/31/33/34/36/38/40/41,,FALSE,FALSE,FALSE
Spis_XP_022789210_1,20327.56976,2.332491386,0.232928775,5.95127E-25,1.06122E-22,NFKB1/NFKB2/REL/RELA/RELB,RHD_Rel.NFKB1/NFKB2/REL/RELA/RELB,,TRUE,FALSE,FALSE
Spis_XP_022780323_1,764.9162628,-2.133609587,0.213635841,6.04228E-25,1.0697E-22,SOX10/SOX9,HMGbox_Sox.SOX10/SOX8/SOX9,,TRUE,FALSE,FALSE
Spis_XP_022799788_1,1572.620091,2.396198428,0.239695845,7.64277E-25,1.34338E-22,SAM_1/SAM_2/,SAM.HG3.7:like:INPPL1:likeclu:5,,FALSE,FALSE,FALSE
Spis_XP_022783668_1,3479.546824,2.431732404,0.243235959,7.91888E-25,1.38204E-22,AAA_11/AAA_11/AAA_12/,zinc_finger_NFX1_type_containing_1,,FALSE,FALSE,FALSE
Spis_XP_022780051_1,562.318002,2.822880147,0.281977624,8.42585E-25,1.46016E-22,ZU5/Death/,tight_junction_protein_1,,FALSE,FALSE,FALSE
Spis_XP_022784675_1,723.5617923,-3.617429713,0.36498215,9.20923E-25,1.58476E-22,Zona_pellucida/,uromodulin,,FALSE,FALSE,FALSE
Spis_XP_022806326_1,414.7189189,-2.839167032,0.283989858,9.62389E-25,1.64462E-22,Zona_pellucida/,CUB_and_zona_pellucida_like_domains_1,,FALSE,FALSE,FALSE
Spis_XP_022785973_1,505.449266,3.943886737,0.402168566,1.52067E-24,2.58074E-22,,,,FALSE,FALSE,FALSE
Spis_XP_022802151_1,1251.051887,2.289785979,0.230973691,1.5358E-24,2.58855E-22,p450/,CYP.HG4.0:CYP11A1/CYP11B1/CYP11B2/CYP24A1/CYP27A1/CYP27B1/CYP27C1,,FALSE,FALSE,FALSE
Spis_XP_022807459_1,13656.31561,3.786369841,0.386557305,2.20327E-24,3.6883E-22,ubiquitin/,ubiquitin_B,,FALSE,FALSE,FALSE
Spis_XP_022785880_1,69.67185349,-3.26661593,0.332049602,3.27394E-24,5.44358E-22,,vegetative cell wall protein gp1-like,,FALSE,FALSE,FALSE
Spis_Spis6489_1,313.2784654,3.311336127,0.336874283,3.33755E-24,5.51212E-22,,,,FALSE,FALSE,FALSE
Spis_XP_022795349_1,823.2150827,2.330662217,0.236898955,3.42612E-24,5.62066E-22,,,,FALSE,FALSE,FALSE
Spis_XP_022800891_1,1480.247359,2.619029192,0.265620116,3.6584E-24,5.96199E-22,,,,FALSE,FALSE,FALSE
Spis_XP_022801875_1,41.75330039,3.474228886,0.354926419,3.91924E-24,6.34505E-22,zf-C3HC4/zf-TRAF/,TNF_receptor_associated_factor_2,,FALSE,FALSE,FALSE
Spis_XP_022780255_1,198.6924316,-2.087297631,0.213354125,4.39995E-24,7.07674E-22,,ferredoxin_reductase,,FALSE,FALSE,FALSE
Spis_XP_022801917_1,1106.054575,3.992875781,0.413104884,5.60926E-24,8.96315E-22,HSP70/,heat_shock_protein_family_A_Hsp70_member_12A,,FALSE,FALSE,FALSE
Spis_XP_022789854_1,1374.23935,2.46784907,0.251728115,5.66011E-24,8.98606E-22,Metallophos/,ADP_ribose_CDP_alcohol_diphosphatase_manganese_dependent,,FALSE,FALSE,FALSE
Spis_XP_022786035_1,3815.597341,4.275657155,0.444492125,5.75123E-24,9.07219E-22,GBP/Peptidase_S74/,,,FALSE,FALSE,FALSE
Spis_XP_022792730_1,410.1212128,5.022783435,0.528714752,7.51817E-24,1.17839E-21,,,,FALSE,FALSE,FALSE
Spis_XP_022797636_1,129.8644568,4.701691548,0.493247465,7.76354E-24,1.20915E-21,,,,FALSE,FALSE,FALSE
Spis_XP_022801403_1,5886.27014,2.791508018,0.285525656,8.66704E-24,1.34137E-21,,,,FALSE,FALSE,FALSE
